source;entiteit;veld;label;min;max;type;default;choice_list
field_624577418a016;Foreign born;details;Details;0;;textarea;;
field_615d81243ad36;Supplier to Slave Trade Voyages;enabled;;0;;radio;?;1|0|?
field_624577718a019;Supplier to Slave Trade Voyages;details;Details;0;;textarea;;
field_615d81413ad37;Creditor to Slave Trade Voyages;enabled;;0;;radio;?;1|0|?
field_624577e97b7ec;Creditor to Slave Trade Voyages;details;Details;0;;textarea;;
field_615d81503ad38;Philanthropy;enabled;;0;;radio;?;1|0|?
field_624578147b7ef;Philanthropy;details;Details;0;;textarea;;
field_61b0b7921272e;Plantation owner;enabled;;0;;radio;?;1|0|?
field_61b0b7b51272f;Plantation owner;link;Link;0;;url;;
field_624578447b7f2;Plantation owner;details;Details;0;;textarea;;
field_615d81153ad35;Corporate Investor;investments;Investments;0;;select;Neither;Neither|Corporate|Non-corporate|Both
field_620243fcb3176;Corporate Investor;type;Type;0;;checkbox;;Company of Royal Adventurers|Royal African Company|South Sea Company
field_624578707b7f5;Corporate Investor;details;Details;0;;textarea;;
field_61af399b6773f;Residencies;address;Address;0;;textarea;;
field_61af39a867740;Residencies;town_city_clone;Town/city;0;;clone;;
field_61544ae012059;Birth;date;Date;0;;alt_date_picker;;
field_61b0b118c4ce6;Birth;address;Address;0;;textarea;;
field_61b0b11ac4ce7;Birth;town_city_clone;Town/city;0;;clone;;
field_61544b241205b;Death;date;Date;0;;alt_date_picker;;
field_61b23575bc5ef;Death;address;Address;0;;textarea;;
field_61b23575bc5f0;Death;town_city_clone;Town/city;0;;clone;;
field_61544b9a12061;Burial;date;Date;0;;alt_date_picker;;
field_61b2358dbc5f2;Burial;address;Address;0;;textarea;;
field_61b2358dbc5f3;Burial;town_city_clone;Town/city;0;;clone;;
field_62458d1f98001;Burial;memorial_details;Memorial details;0;;textarea;;
field_61544b5d1205e;Christening;date;Date;0;;alt_date_picker;;
field_61544a8f12056;Knighthood;date;Date;0;;alt_date_picker;;
field_62458fe2c8224;Baronetcy;date;Date;0;;alt_date_picker;;
field_6245904cc8228;Peerage;date;Date;0;;alt_date_picker;;
field_6202415e033f1;Merchant details;region;Region;0;;textarea;;
field_6202416e033f2;Merchant details;trade;Trade;0;;textarea;;
field_61af589d3153c;Schools;name;Name;1;;text;;
field_61af58d43153e;Universities;name;University;1;;select;;Aberdeen|Cambridge|Edinburgh|Glasgow|Oxford|St Andrews
field_620241b963ac8;Universities;college;College;0;;text;;
field_61af590831540;Inns of Court;name;Name;1;;select;;Inner Temple|Middle Temple|Lincoln’s|Gray’s
field_61af599531545;Military training;description;Description;1;;text;;
field_61af6a3be1e36;Imperial positions;role;Role;1;;text;;
field_61af6a51e1e37;Imperial positions;region_clone;Region;0;;clone;;
